Source,Target,Type
241,3,Directed
241,242,Directed
241,5,Directed
241,28,Directed
243,3,Directed
243,244,Directed
243,14,Directed
243,28,Directed
245,3,Directed
245,246,Directed
245,5,Directed
247,3,Directed
247,248,Directed
247,28,Directed
247,5,Directed
249,3,Directed
249,250,Directed
249,6,Directed
249,132,Directed
251,3,Directed
251,252,Directed
251,5,Directed
251,22,Directed
253,3,Directed
253,254,Directed
253,5,Directed
255,3,Directed
255,256,Directed
255,5,Directed
255,22,Directed
257,3,Directed
257,258,Directed
257,5,Directed
259,3,Directed
259,260,Directed
259,22,Directed
259,5,Directed
261,3,Directed
261,262,Directed
261,5,Directed
261,22,Directed
263,3,Directed
263,264,Directed
263,22,Directed
263,5,Directed
265,3,Directed
265,266,Directed
265,43,Directed
265,5,Directed
267,3,Directed
267,268,Directed
267,22,Directed
267,5,Directed
269,8,Directed
269,270,Directed
271,8,Directed
271,272,Directed
273,8,Directed
273,274,Directed
275,276,Directed
275,8,Directed
275,277,Directed
278,8,Directed
278,279,Directed
280,281,Directed
280,282,Directed
283,3,Directed
283,284,Directed
285,286,Directed
285,287,Directed
288,8,Directed
288,289,Directed
290,8,Directed
290,276,Directed
290,291,Directed
106,3,Directed
106,292,Directed
106,107,Directed
106,293,Directed
106,294,Directed
106,295,Directed
106,296,Directed
106,297,Directed
106,298,Directed
106,299,Directed
106,300,Directed
106,105,Directed
106,301,Directed
106,302,Directed
106,303,Directed
106,304,Directed
106,305,Directed
106,306,Directed
106,14,Directed
106,307,Directed
106,284,Directed
308,3,Directed
308,309,Directed
308,284,Directed
308,284,Directed
308,284,Directed
310,3,Directed
310,148,Directed
310,302,Directed
310,311,Directed
310,300,Directed
310,312,Directed
310,294,Directed
310,305,Directed
310,313,Directed
310,299,Directed
310,149,Directed
310,284,Directed
310,103,Directed
310,284,Directed
314,3,Directed
314,315,Directed
314,284,Directed
314,284,Directed
314,284,Directed
316,8,Directed
316,317,Directed
316,318,Directed
316,319,Directed
316,320,Directed
321,3,Directed
321,322,Directed
321,322,Directed
321,284,Directed
321,284,Directed
321,284,Directed
321,284,Directed
323,3,Directed
323,324,Directed
323,284,Directed
323,284,Directed
323,284,Directed
325,3,Directed
325,326,Directed
325,284,Directed
325,284,Directed
325,284,Directed
327,3,Directed
327,328,Directed
327,284,Directed
327,284,Directed
327,284,Directed
148,3,Directed
148,302,Directed
148,329,Directed
148,310,Directed
148,330,Directed
148,300,Directed
148,331,Directed
148,305,Directed
148,294,Directed
148,299,Directed
148,147,Directed
148,149,Directed
148,103,Directed
148,284,Directed
148,284,Directed
332,3,Directed
332,333,Directed
332,284,Directed
332,284,Directed
332,284,Directed
334,3,Directed
334,301,Directed
334,335,Directed
334,295,Directed
334,336,Directed
334,297,Directed
334,337,Directed
334,296,Directed
334,300,Directed
334,302,Directed
334,305,Directed
334,338,Directed
334,299,Directed
334,294,Directed
334,52,Directed
334,51,Directed
334,339,Directed
334,14,Directed
340,3,Directed
340,341,Directed
340,284,Directed
340,284,Directed
340,284,Directed
342,3,Directed
342,326,Directed
342,284,Directed
342,284,Directed
342,284,Directed
343,3,Directed
343,344,Directed
343,284,Directed
343,284,Directed
343,284,Directed
343,284,Directed
345,3,Directed
345,346,Directed
345,284,Directed
345,284,Directed
345,284,Directed
298,3,Directed
298,347,Directed
298,348,Directed
298,302,Directed
298,299,Directed
298,297,Directed
298,349,Directed
298,106,Directed
298,107,Directed
298,305,Directed
298,294,Directed
298,301,Directed
298,350,Directed
298,351,Directed
298,296,Directed
298,300,Directed
298,295,Directed
298,14,Directed
352,3,Directed
352,322,Directed
352,322,Directed
352,284,Directed
352,284,Directed
352,284,Directed
353,3,Directed
353,354,Directed
353,284,Directed
353,284,Directed
353,284,Directed
355,3,Directed
355,324,Directed
355,284,Directed
355,284,Directed
355,284,Directed
356,3,Directed
356,357,Directed
356,43,Directed
356,43,Directed
356,284,Directed
358,3,Directed
358,359,Directed
358,284,Directed
358,284,Directed
358,284,Directed
360,3,Directed
360,361,Directed
360,284,Directed
360,284,Directed
360,284,Directed
362,3,Directed
362,341,Directed
362,284,Directed
362,284,Directed
362,284,Directed
128,3,Directed
128,299,Directed
128,300,Directed
128,363,Directed
128,302,Directed
128,364,Directed
128,127,Directed
128,125,Directed
128,365,Directed
128,294,Directed
128,366,Directed
128,284,Directed
128,284,Directed
128,103,Directed
367,3,Directed
367,368,Directed
367,284,Directed
367,284,Directed
367,284,Directed
369,3,Directed
369,344,Directed
369,284,Directed
369,284,Directed
369,284,Directed
370,3,Directed
370,371,Directed
370,284,Directed
370,284,Directed
370,284,Directed
372,3,Directed
372,346,Directed
372,284,Directed
372,284,Directed
372,284,Directed
372,284,Directed
373,3,Directed
373,368,Directed
373,284,Directed
373,284,Directed
373,284,Directed
374,3,Directed
374,368,Directed
374,284,Directed
374,284,Directed
374,284,Directed
374,284,Directed
375,3,Directed
375,357,Directed
375,284,Directed
375,284,Directed
375,43,Directed
376,3,Directed
376,357,Directed
376,284,Directed
376,43,Directed
376,284,Directed
377,3,Directed
377,378,Directed
377,284,Directed
377,284,Directed
377,284,Directed
377,284,Directed
379,3,Directed
379,322,Directed
379,322,Directed
379,284,Directed
379,284,Directed
379,284,Directed
380,3,Directed
380,371,Directed
380,328,Directed
380,284,Directed
380,284,Directed
380,284,Directed
380,284,Directed
380,284,Directed
381,3,Directed
381,333,Directed
381,284,Directed
381,284,Directed
381,284,Directed
382,3,Directed
382,383,Directed
382,300,Directed
382,100,Directed
382,299,Directed
382,384,Directed
382,101,Directed
382,305,Directed
382,385,Directed
382,386,Directed
382,302,Directed
382,294,Directed
382,284,Directed
382,103,Directed
387,3,Directed
387,333,Directed
387,284,Directed
387,284,Directed
387,284,Directed
387,284,Directed
388,3,Directed
388,315,Directed
388,284,Directed
388,284,Directed
388,284,Directed
389,3,Directed
389,368,Directed
389,284,Directed
389,284,Directed
389,284,Directed
389,284,Directed
51,3,Directed
51,334,Directed
51,390,Directed
51,302,Directed
51,295,Directed
51,305,Directed
51,301,Directed
51,391,Directed
51,49,Directed
51,300,Directed
51,299,Directed
51,294,Directed
51,392,Directed
51,393,Directed
51,296,Directed
51,52,Directed
51,297,Directed
51,394,Directed
51,14,Directed
395,3,Directed
395,368,Directed
395,284,Directed
395,284,Directed
395,284,Directed
396,3,Directed
396,354,Directed
396,284,Directed
396,284,Directed
396,284,Directed
396,284,Directed
397,3,Directed
397,398,Directed
397,284,Directed
397,284,Directed
397,284,Directed
399,3,Directed
399,328,Directed
399,284,Directed
399,284,Directed
399,284,Directed
400,3,Directed
400,401,Directed
400,284,Directed
400,284,Directed
400,284,Directed
402,3,Directed
402,333,Directed
402,284,Directed
402,284,Directed
402,284,Directed
364,3,Directed
364,128,Directed
364,403,Directed
364,302,Directed
364,127,Directed
364,294,Directed
