Source,Target,Type
907,323,Directed
907,353,Directed
907,908,Directed
909,3,Directed
909,855,Directed
909,397,Directed
910,3,Directed
910,431,Directed
910,855,Directed
911,3,Directed
911,855,Directed
911,377,Directed
912,3,Directed
912,381,Directed
912,353,Directed
912,877,Directed
912,913,Directed
912,913,Directed
912,323,Directed
914,3,Directed
914,425,Directed
914,870,Directed
915,3,Directed
915,425,Directed
915,852,Directed
916,3,Directed
916,380,Directed
916,870,Directed
917,3,Directed
917,400,Directed
917,836,Directed
918,3,Directed
918,397,Directed
918,857,Directed
919,3,Directed
919,857,Directed
919,425,Directed
920,3,Directed
920,431,Directed
920,836,Directed
921,3,Directed
921,855,Directed
921,380,Directed
922,3,Directed
922,855,Directed
922,427,Directed
922,852,Directed
922,323,Directed
922,381,Directed
922,852,Directed
923,3,Directed
923,416,Directed
923,323,Directed
923,857,Directed
923,924,Directed
923,381,Directed
925,3,Directed
925,323,Directed
925,381,Directed
925,926,Directed
925,323,Directed
925,837,Directed
927,3,Directed
927,369,Directed
927,852,Directed
927,928,Directed
927,389,Directed
927,928,Directed
927,323,Directed
929,3,Directed
929,323,Directed
929,847,Directed
929,870,Directed
929,427,Directed
930,3,Directed
930,860,Directed
930,377,Directed
931,3,Directed
931,885,Directed
931,932,Directed
931,389,Directed
931,932,Directed
931,323,Directed
931,323,Directed
933,3,Directed
933,400,Directed
933,857,Directed
934,3,Directed
934,323,Directed
934,855,Directed
934,870,Directed
935,3,Directed
935,381,Directed
935,836,Directed
935,369,Directed
935,836,Directed
935,323,Directed
935,836,Directed
936,3,Directed
936,416,Directed
936,323,Directed
936,852,Directed
936,381,Directed
936,937,Directed
938,3,Directed
938,397,Directed
938,841,Directed
939,3,Directed
939,431,Directed
939,870,Directed
940,3,Directed
940,407,Directed
940,941,Directed
942,3,Directed
942,865,Directed
942,327,Directed
943,3,Directed
943,431,Directed
943,841,Directed
944,3,Directed
944,877,Directed
944,868,Directed
944,323,Directed
944,372,Directed
945,3,Directed
945,323,Directed
945,946,Directed
945,381,Directed
945,946,Directed
945,389,Directed
945,865,Directed
947,3,Directed
947,868,Directed
947,377,Directed
948,3,Directed
948,416,Directed
948,847,Directed
948,323,Directed
948,381,Directed
948,949,Directed
950,3,Directed
950,836,Directed
950,425,Directed
951,3,Directed
951,952,Directed
951,885,Directed
951,369,Directed
951,427,Directed
951,952,Directed
951,427,Directed
953,3,Directed
953,377,Directed
953,870,Directed
954,3,Directed
954,885,Directed
954,323,Directed
954,427,Directed
954,904,Directed
954,389,Directed
954,904,Directed
955,3,Directed
955,407,Directed
955,877,Directed
956,3,Directed
956,870,Directed
956,423,Directed
957,3,Directed
957,846,Directed
957,425,Directed
958,3,Directed
958,846,Directed
958,400,Directed
959,3,Directed
959,857,Directed
959,380,Directed
960,3,Directed
960,852,Directed
960,400,Directed
961,3,Directed
961,855,Directed
961,416,Directed
961,962,Directed
961,427,Directed
961,427,Directed
961,962,Directed
963,3,Directed
963,397,Directed
963,865,Directed
964,3,Directed
964,397,Directed
964,846,Directed
965,3,Directed
965,397,Directed
965,836,Directed
966,3,Directed
966,868,Directed
966,380,Directed
967,3,Directed
967,968,Directed
967,323,Directed
967,427,Directed
967,857,Directed
967,381,Directed
967,968,Directed
969,3,Directed
969,970,Directed
969,323,Directed
969,381,Directed
969,970,Directed
969,870,Directed
969,369,Directed
971,3,Directed
971,425,Directed
971,841,Directed
972,3,Directed
972,428,Directed
972,877,Directed
973,3,Directed
973,847,Directed
973,427,Directed
973,885,Directed
973,381,Directed
973,323,Directed
973,885,Directed
974,3,Directed
974,860,Directed
974,975,Directed
974,323,Directed
974,389,Directed
976,3,Directed
976,323,Directed
976,381,Directed
976,977,Directed
976,323,Directed
976,968,Directed
976,977,Directed
978,3,Directed
978,377,Directed
978,847,Directed
979,3,Directed
979,885,Directed
979,377,Directed
980,3,Directed
980,870,Directed
980,427,Directed
980,427,Directed
980,323,Directed
980,981,Directed
982,3,Directed
982,400,Directed
982,841,Directed
983,3,Directed
983,984,Directed
983,377,Directed
985,3,Directed
985,841,Directed
985,323,Directed
985,416,Directed
985,862,Directed
986,3,Directed
986,885,Directed
986,421,Directed
987,3,Directed
987,370,Directed
987,877,Directed
988,3,Directed
988,421,Directed
988,868,Directed
989,3,Directed
989,421,Directed
989,855,Directed
990,3,Directed
990,941,Directed
990,314,Directed
991,3,Directed
991,421,Directed
991,841,Directed
992,3,Directed
992,370,Directed
992,860,Directed
993,3,Directed
993,865,Directed
993,370,Directed
994,3,Directed
994,870,Directed
994,421,Directed
995,3,Directed
995,370,Directed
995,941,Directed
996,3,Directed
996,836,Directed
996,421,Directed
997,3,Directed
997,998,Directed
997,381,Directed
999,3,Directed
999,314,Directed
999,877,Directed
1000,3,Directed
1000,847,Directed
1000,421,Directed
1001,3,Directed
1001,852,Directed
1001,421,Directed
1002,1003,Directed
1002,8,Directed
1002,607,Directed
1002,1004,Directed
1005,8,Directed
1005,325,Directed
1005,1006,Directed
1005,1007,Directed
1008,949,Directed
1009,833,Directed
1010,849,Directed
1011,847,Directed
1012,884,Directed
1013,870,Directed
1014,834,Directed
1015,859,Directed
1016,862,Directed
1017,857,Directed
1018,904,Directed
1019,836,Directed
1020,875,Directed
1021,932,Directed
1022,841,Directed
1023,3,Directed
1023,1024,Directed
1023,908,Directed
1025,843,Directed
1026,852,Directed
1027,913,Directed
1028,924,Directed
1029,839,Directed
1030,846,Directed
1031,872,Directed
1032,837,Directed
1033,885,Directed
1034,905,Directed
1035,844,Directed
1036,1024,Directed
1036,855,Directed
1037,968,Directed
1038,928,Directed
1039,900,Directed
1040,937,Directed
1041,970,Directed
1042,896,Directed
1043,902,Directed
1044,975,Directed
1045,1046,Directed
1047,868,Directed
1048,926,Directed
1049,1003,Directed
1049,3,Directed
1049,608,Directed
1049,847,Directed
1049,421,Directed
1050,1003,Directed
1050,3,Directed
1050,353,Directed
1050,608,Directed
1050,1051,Directed
1052,3,Directed
1052,1003,Directed
1052,416,Directed
1052,608,Directed
1052,852,Directed
1053,3,Directed
1053,1003,Directed
1053,608,Directed
1053,425,Directed
1053,855,Directed
1054,1003,Directed
1054,3,Directed
1054,855,Directed
1054,380,Directed
1054,608,Directed
1055,1003,Directed
1055,3,Directed
1055,608,Directed
1055,836,Directed
1055,421,Directed
1056,1003,Directed
1056,3,Directed
1056,377,Directed
1056,608,Directed
1056,847,Directed
1057,3,Directed
1057,1003,Directed
1057,968,Directed
1057,400,Directed
1057,608,Directed
1058,1059,Directed
1058,8,Directed
1058,289,Directed
1058,1006,Directed
1058,1060,Directed
1061,8,Directed
1061,1006,Directed
1061,1062,Directed
1061,289,Directed
1063,3,Directed
1063,1003,Directed
1063,847,Directed
1063,380,Directed
1063,608,Directed
1064,1003,Directed
1064,3,Directed
1064,369,Directed
1064,968,Directed
1064,608,Directed
1065,1003,Directed
1065,3,Directed
1065,397,Directed
1065,608,Directed
1065,836,Directed
1066,3,Directed
1066,1003,Directed
1066,427,Directed
1066,968,Directed
1066,608,Directed
1067,1003,Directed
1067,3,Directed
1067,427,Directed
1067,608,Directed
1067,847,Directed
1068,8,Directed
1068,1006,Directed
1068,325,Directed
1068,1069,Directed
1070,3,Directed
1070,1003,Directed
1070,852,Directed
1070,380,Directed
1070,608,Directed
1071,3,Directed
1071,1003,Directed
1071,836,Directed
1071,400,Directed
1071,608,Directed
1072,3,Directed
1072,1003,Directed
1072,968,Directed
1072,608,Directed
1072,431,Directed
1073,3,Directed
1073,1003,Directed
1073,1051,Directed
1073,608,Directed
1073,327,Directed
1074,1003,Directed
1074,3,Directed
1074,1051,Directed
1074,608,Directed
1074,362,Directed
1075,3,Directed
1075,1003,Directed
1075,836,Directed
1075,608,Directed
1075,416,Directed
1076,3,Directed
1076,1003,Directed
1076,968,Directed
1076,425,Directed
1076,608,Directed
1077,3,Directed
1077,1003,Directed
1077,380,Directed
1077,836,Directed
1077,608,Directed
1078,1003,Directed
1078,3,Directed
1078,369,Directed
1078,608,Directed
1078,847,Directed
1079,1003,Directed
1079,3,Directed
1079,1051,Directed
1079,377,Directed
1079,608,Directed
1080,3,Directed
1080,1003,Directed
1080,416,Directed
1080,836,Directed
1080,608,Directed
1081,3,Directed
1081,857,Directed
1081,369,Directed
1081,895,Directed
1082,3,Directed
1082,416,Directed
1082,857,Directed
1082,923,Directed
1083,3,Directed
1083,860,Directed
1083,974,Directed
1083,389,Directed
1084,3,Directed
1084,948,Directed
1084,416,Directed
1084,847,Directed
1085,3,Directed
1085,847,Directed
1085,948,Directed
1085,416,Directed
1086,3,Directed
1086,353,Directed
1086,907,Directed
1086,881,Directed
1087,3,Directed
1087,353,Directed
1087,865,Directed
1087,864,Directed
1088,3,Directed
1088,369,Directed
1088,895,Directed
1088,857,Directed
1089,3,Directed
1089,895,Directed
1089,369,Directed
1089,857,Directed
1090,3,Directed
1090,416,Directed
1090,923,Directed
1090,857,Directed
1091,3,Directed
1091,323,Directed
1091,833,Directed
1091,832,Directed
1092,3,Directed
1092,860,Directed
1092,858,Directed
1092,353,Directed
1093,3,Directed
1093,951,Directed
1093,885,Directed
1093,369,Directed
1094,3,Directed
1094,901,Directed
1094,416,Directed
1094,868,Directed
1095,3,Directed
1095,855,Directed
1095,934,Directed
1095,323,Directed
1096,3,Directed
1096,865,Directed
1096,945,Directed
1096,389,Directed
1097,3,Directed
1097,870,Directed
1097,899,Directed
1097,416,Directed
1098,3,Directed
1098,323,Directed
1098,861,Directed
1098,862,Directed
1099,3,Directed
1099,847,Directed
1099,948,Directed
1099,416,Directed
1100,3,Directed
1100,857,Directed
1100,895,Directed
1100,369,Directed
1101,3,Directed
1101,841,Directed
1101,416,Directed
1101,985,Directed
1102,3,Directed
1102,961,Directed
1102,416,Directed
1102,855,Directed
1103,3,Directed
1103,923,Directed
1103,857,Directed
1103,416,Directed
1104,3,Directed
1104,416,Directed
1104,923,Directed
1104,857,Directed
1105,3,Directed
1105,416,Directed
1105,899,Directed
1105,870,Directed
1106,3,Directed
1106,868,Directed
1106,901,Directed
1106,416,Directed
1107,3,Directed
1107,369,Directed
1107,969,Directed
1107,870,Directed
1108,3,Directed
1108,836,Directed
1108,416,Directed
1108,835,Directed
1109,3,Directed
1109,899,Directed
1109,870,Directed
1109,416,Directed
1110,3,Directed
1110,416,Directed
1110,961,Directed
1110,855,Directed
1111,3,Directed
1111,842,Directed
1111,323,Directed
1111,844,Directed
1112,3,Directed
1112,353,Directed
1112,864,Directed
1112,865,Directed
1113,3,Directed
1113,969,Directed
1113,870,Directed
1113,369,Directed
1114,3,Directed
1114,852,Directed
1114,416,Directed
1114,936,Directed
1115,3,Directed
1115,855,Directed
1115,853,Directed
1115,369,Directed
1090,3,Directed
1090,923,Directed
1090,416,Directed
1090,857,Directed
1116,3,Directed
1116,870,Directed
1116,323,Directed
1116,980,Directed
1117,3,Directed
1117,850,Directed
1117,871,Directed
1117,353,Directed
1118,3,Directed
1118,870,Directed
1118,369,Directed
1118,969,Directed
1119,3,Directed
1119,895,Directed
1119,369,Directed
1119,857,Directed
1120,3,Directed
1120,870,Directed
1120,969,Directed
1120,369,Directed
1121,3,Directed
1121,353,Directed
1121,912,Directed
1121,877,Directed
1122,3,Directed
1122,895,Directed
1122,369,Directed
1122,857,Directed
1113,3,Directed
1113,969,Directed
1113,870,Directed
1113,369,Directed
1123,3,Directed
1123,883,Directed
1123,885,Directed
1123,416,Directed
1124,3,Directed
1124,323,Directed
1124,925,Directed
1124,837,Directed
1125,3,Directed
1125,369,Directed
1125,840,Directed
1125,841,Directed
1126,3,Directed
1126,870,Directed
1126,369,Directed
1126,969,Directed
1109,3,Directed
1109,416,Directed
1109,870,Directed
1109,899,Directed
1108,3,Directed
1108,416,Directed
1108,835,Directed
1108,836,Directed
1127,3,Directed
1127,868,Directed
1127,901,Directed
1127,416,Directed
1128,3,Directed
1128,853,Directed
1128,369,Directed
1128,855,Directed
1129,3,Directed
1129,835,Directed
1129,836,Directed
1129,416,Directed
1130,3,Directed
1130,948,Directed
1130,847,Directed
1130,416,Directed
1131,3,Directed
1131,369,Directed
1131,870,Directed
1131,969,Directed
1132,3,Directed
1132,899,Directed
1132,870,Directed
1132,416,Directed
1133,3,Directed
1133,870,Directed
1133,969,Directed
1133,369,Directed
1134,3,Directed
1134,901,Directed
1134,416,Directed
1134,868,Directed
1135,3,Directed
1135,416,Directed
1135,835,Directed
1135,836,Directed
1136,3,Directed
1136,969,Directed
1136,870,Directed
1136,369,Directed
1137,3,Directed
1137,416,Directed
1137,885,Directed
1137,883,Directed
1138,3,Directed
1138,870,Directed
1138,980,Directed
1138,323,Directed
1139,3,Directed
1139,948,Directed
1139,416,Directed
1139,847,Directed
1140,3,Directed
1140,857,Directed
1140,416,Directed
1140,923,Directed
1141,3,Directed
1141,416,Directed
1141,857,Directed
1141,923,Directed
1142,3,Directed
1142,852,Directed
1142,416,Directed
1142,936,Directed
1143,3,Directed
1143,857,Directed
1143,416,Directed
1143,923,Directed
1144,3,Directed
1144,369,Directed
1144,951,Directed
1144,885,Directed
1145,3,Directed
1145,899,Directed
1145,416,Directed
1145,870,Directed
1139,3,Directed
1139,847,Directed
1139,948,Directed
1139,416,Directed
1146,3,Directed
1146,323,Directed
1146,885,Directed
1146,931,Directed
1147,3,Directed
1147,868,Directed
1147,416,Directed
1147,901,Directed
1148,3,Directed
1148,948,Directed
1148,416,Directed
1148,847,Directed
1149,3,Directed
1149,868,Directed
1149,416,Directed
1149,901,Directed
1150,3,Directed
1150,369,Directed
1150,969,Directed
1150,870,Directed
1151,3,Directed
1151,852,Directed
1151,416,Directed
1151,936,Directed
1086,3,Directed
1086,907,Directed
1086,881,Directed
1086,353,Directed
1152,3,Directed
1152,968,Directed
1152,323,Directed
1152,976,Directed
1153,3,Directed
1153,416,Directed
1153,923,Directed
1153,857,Directed
1154,3,Directed
1154,883,Directed
1154,416,Directed
1154,885,Directed
1085,3,Directed
1085,416,Directed
1085,847,Directed
1085,948,Directed
1155,3,Directed
1155,389,Directed
1155,848,Directed
1155,850,Directed
1156,3,Directed
1156,323,Directed
1156,904,Directed
1156,903,Directed
1157,3,Directed
1157,835,Directed
1157,836,Directed
1157,416,Directed
1158,3,Directed
1158,936,Directed
1158,416,Directed
1158,852,Directed
1159,3,Directed
1159,857,Directed
1159,895,Directed
1159,369,Directed
1160,3,Directed
1160,369,Directed
1160,885,Directed
1160,951,Directed
1161,3,Directed
1161,870,Directed
1161,416,Directed
1161,899,Directed
1162,3,Directed
1162,416,Directed
1162,899,Directed
1162,870,Directed
1163,3,Directed
1163,369,Directed
1163,895,Directed
1163,857,Directed
1164,3,Directed
1164,951,Directed
1164,885,Directed
1164,369,Directed
1165,3,Directed
1165,416,Directed
1165,868,Directed
1165,901,Directed
1162,3,Directed
1162,899,Directed
1162,870,Directed
1162,416,Directed
1103,3,Directed
1103,857,Directed
1103,416,Directed
1103,923,Directed
1166,3,Directed
1166,885,Directed
1166,951,Directed
1166,369,Directed
1167,3,Directed
1167,904,Directed
1167,323,Directed
1167,903,Directed
1168,3,Directed
1168,416,Directed
1168,883,Directed
1168,885,Directed
1169,3,Directed
1169,870,Directed
1169,416,Directed
1169,899,Directed
1170,3,Directed
1170,835,Directed
1170,416,Directed
1170,836,Directed
1171,3,Directed
1171,899,Directed
1171,416,Directed
1171,870,Directed
1172,3,Directed
1172,868,Directed
1172,369,Directed
1172,897,Directed
1173,3,Directed
1173,868,Directed
1173,427,Directed
1173,867,Directed
1174,3,Directed
1174,838,Directed
1174,836,Directed
1174,427,Directed
1175,3,Directed
1175,845,Directed
1175,369,Directed
1175,847,Directed
1176,3,Directed
1176,867,Directed
1176,868,Directed
1176,427,Directed
1176,3,Directed
1176,868,Directed
1176,427,Directed
1176,867,Directed
1177,3,Directed
1177,847,Directed
1177,845,Directed
1177,369,Directed
1178,3,Directed
1178,847,Directed
1178,369,Directed
1178,845,Directed
1179,3,Directed
1179,423,Directed
1179,870,Directed
1179,956,Directed
1180,3,Directed
1180,894,Directed
1180,352,Directed
1180,870,Directed
1181,3,Directed
1181,929,Directed
1181,427,Directed
1181,870,Directed
1182,3,Directed
1182,369,Directed
1182,845,Directed
1182,847,Directed
1183,3,Directed
1183,847,Directed
1183,427,Directed
1183,973,Directed
1184,3,Directed
1184,979,Directed
1184,377,Directed
1184,885,Directed
1182,3,Directed
1182,369,Directed
1182,847,Directed
1182,845,Directed
1185,3,Directed
1185,427,Directed
1185,922,Directed
1185,855,Directed
1186,3,Directed
1186,979,Directed
1186,377,Directed
1186,885,Directed
1187,3,Directed
1187,852,Directed
1187,873,Directed
1187,427,Directed
1188,3,Directed
1188,841,Directed
1188,874,Directed
1188,427,Directed
1189,3,Directed
1189,857,Directed
1189,427,Directed
1189,967,Directed
1190,3,Directed
1190,427,Directed
1190,857,Directed
1190,967,Directed
1191,3,Directed
1191,427,Directed
1191,973,Directed
1191,847,Directed
1192,3,Directed
1192,935,Directed
1192,369,Directed
1192,836,Directed
1193,3,Directed
1193,867,Directed
1193,427,Directed
1193,868,Directed
1194,3,Directed
1194,369,Directed
1194,868,Directed
1194,897,Directed
1195,3,Directed
1195,870,Directed
1195,882,Directed
1195,424,Directed
1196,3,Directed
1196,847,Directed
1196,427,Directed
1196,973,Directed
1197,3,Directed
1197,427,Directed
1197,973,Directed
1197,847,Directed
1198,3,Directed
1198,867,Directed
1198,427,Directed
1198,868,Directed
1199,3,Directed
1199,427,Directed
1199,857,Directed
1199,967,Directed
1200,3,Directed
1200,897,Directed
1200,369,Directed
1200,868,Directed
1201,3,Directed
1201,369,Directed
1201,836,Directed
1201,935,Directed
1199,3,Directed
1199,967,Directed
1199,427,Directed
1199,857,Directed
1202,3,Directed
1202,847,Directed
1202,369,Directed
1202,845,Directed
1203,3,Directed
1203,369,Directed
1203,897,Directed
1203,868,Directed
1204,3,Directed
1204,953,Directed
1204,870,Directed
1204,377,Directed
1205,3,Directed
1205,847,Directed
1205,427,Directed
1205,973,Directed
1206,3,Directed
1206,885,Directed
1206,954,Directed
1206,427,Directed
1207,3,Directed
1207,885,Directed
1207,377,Directed
1207,979,Directed
1208,3,Directed
1208,870,Directed
1208,929,Directed
1208,427,Directed
1209,3,Directed
1209,427,Directed
1209,867,Directed
1209,868,Directed
1210,3,Directed
1210,847,Directed
1210,427,Directed
1210,973,Directed
1210,3,Directed
1210,847,Directed
1210,427,Directed
1210,973,Directed
1211,3,Directed
1211,377,Directed
1211,855,Directed
1211,911,Directed
1212,3,Directed
1212,935,Directed
1212,836,Directed
1212,369,Directed
1213,3,Directed
1213,427,Directed
1213,885,Directed
1213,954,Directed
1214,3,Directed
1214,868,Directed
1214,377,Directed
1214,947,Directed
1215,3,Directed
1215,868,Directed
1215,897,Directed
1215,369,Directed
1216,3,Directed
1216,935,Directed
1216,836,Directed
1216,369,Directed
1217,3,Directed
1217,836,Directed
1217,427,Directed
1217,838,Directed
1218,3,Directed
1218,868,Directed
1218,897,Directed
1218,369,Directed
1219,3,Directed
1219,427,Directed
1219,857,Directed
1219,967,Directed
1220,3,Directed
1220,967,Directed
1220,427,Directed
1220,857,Directed
1221,3,Directed
1221,427,Directed
1221,857,Directed
1221,967,Directed
1222,3,Directed
1222,838,Directed
1222,836,Directed
1222,427,Directed
1223,3,Directed
1223,973,Directed
1223,847,Directed
1223,427,Directed
1224,3,Directed
1224,870,Directed
1224,427,Directed
1224,929,Directed
1225,3,Directed
1225,870,Directed
1225,427,Directed
1225,929,Directed
1226,3,Directed
1226,377,Directed
1226,855,Directed
1226,911,Directed
1218,3,Directed
1218,897,Directed
1218,369,Directed
1218,868,Directed
1227,3,Directed
1227,870,Directed
1227,427,Directed
1227,929,Directed
1228,3,Directed
1228,882,Directed
1228,424,Directed
1228,870,Directed
1229,3,Directed
1229,427,Directed
1229,857,Directed
1229,967,Directed
1198,3,Directed
1198,868,Directed
1198,427,Directed
1198,867,Directed
1230,3,Directed
1230,427,Directed
1230,870,Directed
1230,929,Directed
1231,3,Directed
1231,868,Directed
1231,427,Directed
1231,867,Directed
1219,3,Directed
1219,967,Directed
1219,427,Directed
1219,857,Directed
1232,3,Directed
1232,868,Directed
1232,897,Directed
1232,369,Directed
1233,3,Directed
1233,929,Directed
1233,870,Directed
1233,427,Directed
1234,3,Directed
1234,427,Directed
1234,868,Directed
1234,867,Directed
1235,3,Directed
1235,956,Directed
1235,870,Directed
1235,423,Directed
1236,3,Directed
1236,868,Directed
1236,427,Directed
1236,867,Directed
1237,3,Directed
1237,372,Directed
1237,944,Directed
1237,877,Directed
1238,3,Directed
1238,953,Directed
1238,870,Directed
1238,377,Directed
1225,3,Directed
1225,427,Directed
1225,929,Directed
1225,870,Directed
1239,3,Directed
1239,953,Directed
1239,870,Directed
1239,377,Directed
1240,3,Directed
1240,979,Directed
1240,377,Directed
1240,885,Directed
1183,3,Directed
1183,847,Directed
1183,973,Directed
1183,427,Directed
1241,3,Directed
1241,836,Directed
1241,838,Directed
1241,427,Directed
1242,3,Directed
1242,857,Directed
1242,427,Directed
1242,967,Directed
1243,3,Directed
1243,836,Directed
1243,369,Directed
1243,935,Directed
1244,3,Directed
1244,836,Directed
1244,838,Directed
1244,427,Directed
1245,3,Directed
1245,870,Directed
1245,929,Directed
1245,427,Directed
1246,3,Directed
1246,852,Directed
1246,873,Directed
1246,427,Directed
1247,3,Directed
1247,852,Directed
1247,369,Directed
1247,927,Directed
1248,3,Directed
1248,935,Directed
1248,836,Directed
1248,369,Directed
1249,3,Directed
1249,897,Directed
1249,868,Directed
1249,369,Directed
1250,3,Directed
1250,870,Directed
1250,894,Directed
1250,352,Directed
1251,3,Directed
1251,427,Directed
1251,857,Directed
1251,967,Directed
1252,3,Directed
1252,845,Directed
1252,847,Directed
1252,369,Directed
1253,3,Directed
1253,836,Directed
1253,369,Directed
1253,935,Directed
1254,3,Directed
1254,427,Directed
1254,847,Directed
1254,973,Directed
1255,3,Directed
1255,873,Directed
1255,852,Directed
1255,427,Directed
1256,3,Directed
1256,885,Directed
1256,369,Directed
1256,951,Directed
1209,3,Directed
1209,427,Directed
1209,867,Directed
1209,868,Directed
1252,3,Directed
1252,369,Directed
1252,847,Directed
1252,845,Directed
1257,3,Directed
1257,377,Directed
1257,870,Directed
1257,953,Directed
1258,3,Directed
1258,836,Directed
1258,838,Directed
1258,427,Directed
1259,3,Directed
1259,427,Directed
1259,838,Directed
1259,836,Directed
1260,3,Directed
1260,369,Directed
1260,868,Directed
1260,897,Directed
1261,3,Directed
1261,836,Directed
1261,917,Directed
1261,400,Directed
1262,3,Directed
1262,868,Directed
1262,380,Directed
1262,966,Directed
1263,3,Directed
1263,919,Directed
1263,857,Directed
1263,425,Directed
1264,3,Directed
1264,377,Directed
1264,868,Directed
1264,947,Directed
1265,3,Directed
1265,978,Directed
1265,377,Directed
1265,847,Directed
1266,3,Directed
1266,868,Directed
1266,966,Directed
1266,380,Directed
1267,3,Directed
1267,984,Directed
1267,983,Directed
1267,377,Directed
1268,3,Directed
1268,857,Directed
1268,380,Directed
1268,959,Directed
1269,3,Directed
1269,870,Directed
1269,380,Directed
1269,916,Directed
1270,3,Directed
1270,957,Directed
1270,846,Directed
1270,425,Directed
1271,3,Directed
1271,887,Directed
1271,855,Directed
1271,425,Directed
1272,3,Directed
1272,380,Directed
1272,855,Directed
1272,921,Directed
1273,3,Directed
1273,836,Directed
1273,400,Directed
1273,917,Directed
1274,3,Directed
1274,933,Directed
1274,857,Directed
1274,400,Directed
1275,3,Directed
1275,377,Directed
1275,978,Directed
1275,847,Directed
1276,3,Directed
1276,870,Directed
1276,914,Directed
1276,425,Directed
1277,3,Directed
1277,847,Directed
1277,380,Directed
1277,878,Directed
1278,3,Directed
1278,425,Directed
1278,950,Directed
1278,836,Directed
1279,3,Directed
1279,982,Directed
1279,841,Directed
1279,400,Directed
1280,3,Directed
1280,377,Directed
1280,868,Directed
1280,947,Directed
1281,3,Directed
1281,960,Directed
1281,400,Directed
1281,852,Directed
1282,3,Directed
1282,983,Directed
1282,377,Directed
1282,984,Directed
1283,3,Directed
1283,400,Directed
1283,958,Directed
1283,846,Directed
1284,3,Directed
1284,879,Directed
1284,870,Directed
1284,400,Directed
1285,3,Directed
1285,950,Directed
1285,425,Directed
1285,836,Directed
1286,3,Directed
1286,400,Directed
1286,933,Directed
1286,857,Directed
1287,3,Directed
1287,836,Directed
1287,425,Directed
1287,950,Directed
1274,3,Directed
1274,857,Directed
1274,400,Directed
1274,933,Directed
1288,3,Directed
1288,852,Directed
1288,915,Directed
1288,425,Directed
1289,3,Directed
1289,425,Directed
1289,919,Directed
1289,857,Directed
1290,3,Directed
1290,400,Directed
1290,960,Directed
1290,852,Directed
1291,3,Directed
1291,857,Directed
1291,425,Directed
1291,919,Directed
1292,3,Directed
1292,958,Directed
1292,400,Directed
1292,846,Directed
1293,3,Directed
1293,860,Directed
1293,377,Directed
1293,930,Directed
1294,3,Directed
1294,380,Directed
1294,852,Directed
1294,851,Directed
1295,3,Directed
1295,400,Directed
1295,852,Directed
1295,960,Directed
1296,3,Directed
1296,890,Directed
1296,836,Directed
1296,377,Directed
1297,3,Directed
1297,890,Directed
1297,836,Directed
1297,377,Directed
1297,3,Directed
1297,836,Directed
1297,377,Directed
1297,890,Directed
1298,3,Directed
1298,868,Directed
1298,377,Directed
1298,947,Directed
1299,3,Directed
1299,400,Directed
1299,886,Directed
1299,855,Directed
1300,3,Directed
1300,890,Directed
1300,836,Directed
1300,377,Directed
1301,3,Directed
1301,425,Directed
1301,919,Directed
1301,857,Directed
1302,3,Directed
1302,916,Directed
1302,380,Directed
1302,870,Directed
1303,3,Directed
1303,885,Directed
1303,888,Directed
1303,380,Directed
1304,3,Directed
1304,916,Directed
1304,380,Directed
1304,870,Directed
1305,3,Directed
1305,380,Directed
1305,851,Directed
1305,852,Directed
1306,3,Directed
1306,425,Directed
1306,950,Directed
1306,836,Directed
1307,3,Directed
1307,400,Directed
1307,836,Directed
1307,917,Directed
1308,3,Directed
1308,377,Directed
1308,868,Directed
1308,947,Directed
1309,3,Directed
1309,966,Directed
1309,868,Directed
1309,380,Directed
1310,3,Directed
1310,425,Directed
1310,914,Directed
1310,870,Directed
1288,3,Directed
1288,852,Directed
1288,915,Directed
1288,425,Directed
1311,3,Directed
1311,377,Directed
1311,890,Directed
1311,836,Directed
1312,3,Directed
1312,836,Directed
1312,377,Directed
1312,890,Directed
1313,3,Directed
1313,878,Directed
1313,380,Directed
1313,847,Directed
1314,3,Directed
1314,919,Directed
1314,857,Directed
1314,425,Directed
1315,3,Directed
1315,857,Directed
1315,933,Directed
1315,400,Directed
1316,3,Directed
1316,857,Directed
1316,400,Directed
1316,933,Directed
1317,3,Directed
1317,852,Directed
1317,425,Directed
1317,915,Directed
1318,3,Directed
1318,841,Directed
1318,425,Directed
1318,971,Directed
1319,3,Directed
1319,868,Directed
1319,380,Directed
1319,966,Directed
1320,3,Directed
1320,836,Directed
1320,890,Directed
1320,377,Directed
1321,3,Directed
1321,377,Directed
1321,947,Directed
1321,868,Directed
1322,3,Directed
1322,425,Directed
1322,950,Directed
1322,836,Directed
1323,3,Directed
1323,868,Directed
1323,947,Directed
1323,377,Directed
1324,3,Directed
1324,852,Directed
1324,960,Directed
1324,400,Directed
1325,3,Directed
1325,400,Directed
1325,836,Directed
1325,917,Directed
1326,3,Directed
1326,836,Directed
1326,425,Directed
1326,950,Directed
1327,3,Directed
1327,860,Directed
1327,930,Directed
1327,377,Directed
1328,3,Directed
1328,836,Directed
1328,400,Directed
1328,917,Directed
1329,3,Directed
1329,915,Directed
1329,425,Directed
1329,852,Directed
1330,3,Directed
1330,400,Directed
1330,857,Directed
1330,933,Directed
1331,3,Directed
1331,855,Directed
1331,921,Directed
1331,380,Directed
